repo_name,repo_description,repo_language,repo_created_at,repo_updated_at
metalearn-leap,Original PyTorch implementation of the Leap meta-learner (https://arxiv.org/abs/1812.01054) along with code for running the Omniglot experiment presented in the paper.,Python,2019-05-06T18:40:19Z,2024-09-17T15:30:48Z
milan,"Milan is a Scala API and runtime infrastructure for building data-oriented systems, built on top of Apache Flink.",Scala,2019-11-06T22:37:51Z,2024-06-14T08:16:56Z
mrc-net-6d-pose,,Python,2024-03-14T23:53:54Z,2024-10-07T09:19:49Z
multiconer-baseline,,Python,2021-09-10T16:40:36Z,2024-05-19T06:15:59Z
multilingual-keyphrase-generation,,Python,2022-09-20T18:57:08Z,2024-08-21T07:11:03Z
multimodal-affinities,"Official implementation code accompanying the paper: ""Learning Multimodal Affinities for Textual Editing in Images"".",Python,2021-07-04T12:18:29Z,2024-04-09T19:27:20Z
MXFusion,Modular Probabilistic Programming on MXNet,Python,2018-07-31T17:47:44Z,2024-10-09T12:07:39Z
nimbus-jose-jwt_aws-kms-extension,This library package is an extension of nimbus-jose-jwt library. It provides JWE based encrypters/decrypters and JWS based signers/verifiers for doing operations with cryptographic keys stores in AWS KMS.,Java,2021-09-22T13:48:53Z,2024-07-18T20:56:34Z
node-jose_aws-kms-extension,"This library is an extension of the node-jose library, and uses monkey-patching to extend the capabilities of node-jose. It provides JWE-based encrypters/decrypters and JWS-based signers/verifiers for cryptographic operations with keys stored in AWS Key Management Service (KMS).",TypeScript,2023-09-20T10:58:50Z,2024-05-19T20:25:40Z
openapi-swift-code-generate,,Swift,2022-09-09T15:39:29Z,2024-05-27T20:09:44Z
orthogonal-additive-gaussian-processes,Light-weighted code for Orthogonal Additive Gaussian Processes ,Python,2022-06-10T15:41:35Z,2024-10-06T08:40:40Z
oss-attribution-builder,"The OSS Attribution Builder is a website that helps teams create attribution documents (notices, ""open source screens"", credits, etc) commonly found in software products.",TypeScript,2017-07-31T22:45:32Z,2024-08-20T14:02:57Z
oss-contribution-tracker,Track contributions made to external projects and manage CLAs,TypeScript,2017-08-28T17:45:55Z,2023-07-14T20:24:36Z
oss-dashboard,A dashboard for viewing many GitHub organizations at once.,Ruby,2015-10-09T23:11:40Z,2024-09-17T15:30:46Z
pecos,PECOS - Prediction for Enormous and Correlated Spaces,Python,2020-08-12T00:25:51Z,2024-10-08T08:27:06Z
